,tweet,emotion,pre_clean_len,clean_text
1536,@appendixjournal @MartinPribble @FitzMuseum_UK So the Swiss Army knife is really a Roman army knife? I'm going to engrave SPQR on mine.,surprise,135,so the swiss army knife is really a roman army knife i m going to engrave spqr on mine
1537,Off on Friday to look after my youngest. Planning a trip to see Jackson Pollock's Blind Spots exhibition @tateliverpool #culturedtoddler,nocode,136,off on friday to look after my youngest planning a trip to see jackson pollock s blind spots exhibition culturedtoddler
1538,I had sneak preview of other delights delegates to @SWFed conference can sample @devonportguildhall @PlymouthMuseum http://t.co/MipVuwpNzP,happy,138,i had sneak preview of other delights delegates to conference can sample
1539,@britishmuseum Ruin for Spain.,not-relevant,30,ruin for spain
1540,@NationalGallery Make a great BBC4 TV documentary.,happy,50,make a great bbc tv documentary
1541,#CAPP_eu meets in #Helsinki with @CreateIreland @tateliverpool @ludwigmuseum @thisisliveart @TheHeartofGlass @KunsthalleOS @agoracollective,nocode,139,capp eu meets in helsinki with
1542,Went to this lovely show @FitzMuseum_uk last week. Now the late-running catalogue has made an appearance. http://t.co/5MukWUBdWJ,happy,128,went to this lovely show last week now the late running catalogue has made an appearance
1543,@CarolineLawrenc @britishmuseum I've never bothered to look up the Latin. Thanks!,nocode,81,i ve never bothered to look up the latin thanks
1544,@kettlesyard We are happy to! Looks like a good event :),happy,56,we are happy to looks like a good event
1545,@NationalGallery This is one of my favourites; have a copy from the NG framed &amp; hanging right next to me.,happy,109,this is one of my favourites have a copy from the ng framed hanging right next to me
1546,#EthelMaude's 'Exquisite Corpse' at @_TheWhitechapel in London in Luminous Latitude: New Artists' Films from Scotland http://t.co/f5seZK3rG4,nocode,140,ethelmaude s exquisite corpse at in london in luminous latitude new artists films from scotland
1547,A taster of the upcoming Seminar for Arabian Studies w @theBFSA @BritishMuseum next month! http://t.co/jodXRPHrEn,nocode,113,a taster of the upcoming seminar for arabian studies w next month
1548,Check out Corin Sworn's exhibition for @maxmara Art Prize for Women @_TheWhitechapel http://t.co/5GEEw9ysQu http://t.co/2S2O4D8roM,nocode,130,check out corin sworn s exhibition for art prize for women
1549,"Topic suggested by Katy Ball after finding ""Professor Manakata's British Museum Adventure"" (Yukinobo), after Manga exhibition @britishmuseum",nocode,140,topic suggested by katy ball after finding professor manakata s british museum adventure yukinobo after manga exhibition
1550,@britishmuseum Is anything known about Dumouriez in light of Waterloo?They said he was with #Wellington #Waterloo200 http://t.co/1bQqmRGSYx,nocode,139,is anything known about dumouriez in light of waterloo they said he was with wellington waterloo
1551,"@britishmuseum Will Andrew Roberts be doing anything on Napoleon's exile and death in St. Helena, or just Waterloo? #Waterloo200",nocode,128,will andrew roberts be doing anything on napoleon s exile and death in st helena or just waterloo waterloo
1552,"Detail, bottom left, Claude Monet, Water-lilies, after 1916 @NationalGallery #Monet http://t.co/OllMf7L42X",nocode,106,detail bottom left claude monet water lilies after monet
1553,@WaddesdonManor on the Tube thanks to @britishmuseum. Completely thrilling!! http://t.co/QESBnOpe1s,happy,99,on the tube thanks to completely thrilling
1554,@Asamsakti   Piero do Cosimo A Satyr Mourning Over A Nymph ca 1495 @NationalGallery  London,nocode,91,piero do cosimo a satyr mourning over a nymph ca london
1555,I want to read about  LondonArtWeek @NationalGallery @LondonArtWeek,nocode,67,i want to read about londonartweek
1556,Makeway for Noddy! Enjoying new #EnidBlyton exhibition  @PlymouthMuseum #SevenStories http://t.co/lojsVz1wCz,happy,108,makeway for noddy enjoying new enidblyton exhibition sevenstories
1557,Setting up at St Peters Cambridge for #CastleHill open day. Looks to be a great day! @kettlesyard @VisitCambs http://t.co/vUcWmdAbna,happy,132,setting up at st peters cambridge for castlehill open day looks to be a great day
1558,James Richards composes a sonic score for a Francis Bacon painting @_TheWhitechapel part of VAC Collection displays http://t.co/q3CFSJuXeQ,nocode,138,james richards composes a sonic score for a francis bacon painting part of vac collection displays
1559,@britishmuseum @LoveCamden @britishlibrary I remember watching them build that from my office in the tower next door.. now a hotel,nocode,130,i remember watching them build that from my office in the tower next door now a hotel
1560,@ThelmaHulbert @LisaLooly @DrawntoDevon @MooseAllain @DavidSmithArt @roshvarosha I knew that working only in graphite would one day pay off,happy,139,i knew that working only in graphite would one day pay off
1561,@NationalGallery,not-relevant,16,
1562,#PieroDellaFrancesca fascine tous les visiteurs de la @NationalGallery http://t.co/A7JtcL4N73,happy,93,pierodellafrancesca fascine tous les visiteurs de la
1563,"Today's fun, taking a #museumselfie whilst @maustinpics photographed me in @RAMMuseum's #socialfabric exhibition! http://t.co/7dE7Uoadqp",happy,136,today s fun taking a museumselfie whilst photographed me in s socialfabric exhibition
1564,From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt @britishmuseum http://t.co/iJNaUvqhY7,nocode,114,from the tomb of nebamun bc egyptology archaeology ancientegypt
1565,"Excited to have a FLASH Residency at @Studio44AD this Summer, starting next month! @FringeArtsBath @CreativeBath @bathnes @ICIABath",happy,131,excited to have a flash residency at this summer starting next month
1566,See all the photos from Wednesday's #DefeatingDepression event at @RAMMuseum: http://t.co/eDerP8RflP,nocode,100,see all the photos from wednesday s defeatingdepression event at
1567,Lo viste? El tuit más popular de hoy entre las personas que sigo http://t.co/IV21zLi8Zt por @britishmuseum,nocode,106,lo viste el tuit m s popular de hoy entre las personas que sigo por
1568,Friday night @FitzMuseum_UK listening to Tim Knox speaking about country house collections #objects2015 http://t.co/aYh36Hkx3i,nocode,126,friday night listening to tim knox speaking about country house collections objects
1569,"Had the most amazing morning at the #emptyNG event, such a privilege! Big thanks to @londonlivindoll and the @NationalGallery for having us😍",happy,140,had the most amazing morning at the emptyng event such a privilege big thanks to and the for having us
1570,An auspicious jewel: a symbolic bubble for a C19th Japanese painting of the Seven Gods of Good Fortune @britishmuseum http://t.co/EwBA64UN2X,nocode,140,an auspicious jewel a symbolic bubble for a c th japanese painting of the seven gods of good fortune
1571,"#ShoutAbout #AskTheGallery Have you got any plans for #London focussed exhibitions? i.e ""London through the ages"" @NationalGallery",nocode,130,shoutabout askthegallery have you got any plans for london focussed exhibitions i e london through the ages
1572,"'Life Lessons from the Old Masters', on Death. July 4 @NationalGallery http://t.co/cCLsDmQ4zI  #DeathArt with Jon Underwood &amp; @ArtandPerfume",nocode,144,life lessons from the old masters on death july deathart with jon underwood
1573,.@Tate_StIves curated a superb show of paintings by Terry Frost now on @LeedsArtGallery http://t.co/aVpZGl2MMq #terryfrost #leeds #painting,happy,139,curated a superb show of paintings by terry frost now on terryfrost leeds painting
1574,The new Waddesdon Collection room at @britishmuseum is quite something. I haven't seen so much bling since Vienna!,happy|surprise,114,the new waddesdon collection room at is quite something i haven t seen so much bling since vienna
1575,"@tateliverpool I'm trying to book the members curator talk or guided tour for pollock, but the links don't work. Are they sold out?",sad,131,i m trying to book the members curator talk or guided tour for pollock but the links don t work are they sold out
1576,A new look at ancient Egyptian textiles http://t.co/UJQ8z84c2E via @britishmuseum,happy,81,a new look at ancient egyptian textiles via
1577,Come &amp; hear songs from the @smithsonian Folkways archive played by @britishmuseum’s @GlennCumiskey &amp; band. July 7. https://t.co/Pc6XQZvJMh,nocode,146,come hear songs from the folkways archive played by s band july
1578,"Looking forward to a workshop @britishmuseum on working with older ppl, exploring diversity &amp; sustainable partnerships #agefriendlymuseums 😊",happy,144,looking forward to a workshop on working with older ppl exploring diversity sustainable partnerships agefriendlymuseums
1579,Vast Database of African Rock Art Goes Online http://t.co/eqhIWYfiZ8 @britishmuseum,nocode,83,vast database of african rock art goes online
1580,"Nicholas Penny, outgoing director @NationalGallery, is knighted ""for services to the arts."" http://t.co/h13pG6y7y5",nocode,114,nicholas penny outgoing director is knighted for services to the arts
1581,Day 56:  @NationalGallery of Australia gardens in Canberra. #100daysofAustralia #apicaday http://t.co/WppSpikB8I,nocode,112,day of australia gardens in canberra daysofaustralia apicaday
1582,"Fallen Emperor: Napoleon in #Plymouth Sound in 1815, exhib @PlymouthMuseum until 26th Sept #art #waterloo200 http://t.co/j3EBiKGYZe",nocode,131,fallen emperor napoleon in plymouth sound in exhib until th sept art waterloo
1583,@OptimoPrincipi @britishmuseum that one looks so real,surprise,53,that one looks so real
1584,Coffee time: I'm thinking of you @britishmuseum Pen is a pen is a pen... Like a rose http://t.co/95NVs9wx0v,nocode,107,coffee time i m thinking of you pen is a pen is a pen like a rose
1585,James Richards accompanying Francis bacon goosebumps ❤️ @_TheWhitechapel,nocode,72,james richards accompanying francis bacon goosebumps
1586,@britishmuseum on INSTA. Today is the longest day in the northern hemisphere – here’s the #SummerSolstice at Stoneh… http://t.co/Mh3IFM2NkB,nocode,139,on insta today is the longest day in the northern hemisphere here s the summersolstice at stoneh
1587,We're open until 9pm tonight. Start your weekend with us: http://t.co/j5IFZpwXdV http://t... http://t.co/4GDmFSPrRR via @NationalGallery,nocode,136,we re open until pm tonight start your weekend with us via
1588,Make an LED circuit brooch at the British Museum this weekend http://t.co/JzHniW3ttP @britishmuseum,nocode,99,make an led circuit brooch at the british museum this weekend
1589,"Dear @NationalGallery, #divestment is on the up. Will u join in &amp; stop accepting $ from the fossil fuel industry? #AskTheGallery",nocode,132,dear divestment is on the up will u join in stop accepting from the fossil fuel industry askthegallery
1590,Short video clip of Termas: Underwater Throne performance @Tate_StIves last weekend https://t.co/OmjF1Bd10f,nocode,107,short video clip of termas underwater throne performance last weekend
1591,Little bit excited about this tomorrow. It's a BIG weekend for @kettlesyard and friends.  #CastleHill15  https://t.co/WwdLeSc4RN,happy,128,little bit excited about this tomorrow it s a big weekend for and friends castlehill
1592,@pwadey @NationalGallery I think for web viewing it is hard to get the right balance. They cannot help the Forgers and Copyists too much!,nocode,137,i think for web viewing it is hard to get the right balance they cannot help the forgers and copyists too much
1593,Today @LouieJamesKeen and I are off to look at some mummies at @britishmuseum #happysuday,happy,89,today and i are off to look at some mummies at happysuday
1594,@periscopeco @britishmuseum ok 10 mins...,nocode,41,ok mins
1595,Enjoyed the excellent artist talk by Glen Ligon. @tateliverpool,happy,63,enjoyed the excellent artist talk by glen ligon
1596,"@NationalGallery The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland",not-relevant,138,the nd genocide against biafrans as promised by buhari has begun days of unreported aerial bombardment in biafraland
1597,Please have a look and comment on our Lichtenstein Art! @ngadc @Tate @NationalGallery @MuseumModernArt  http://t.co/TBxqUoT9EZ,nocode,126,please have a look and comment on our lichtenstein art
1598,"@britishmuseum @basilissa11 Hi, Israel!",nocode,39,hi israel
1599,@britishmuseum Did Napoleon really say Britain was a nation of shopkeepers?,surprise,75,did napoleon really say britain was a nation of shopkeepers
1600,@tarbosaur @profjoecain @britishmuseum yes mermaid wonderfully scary  for the kids - but now seems to have gone last time we looked,sad,131,yes mermaid wonderfully scary for the kids but now seems to have gone last time we looked
1601,We popped to @FitzMuseum_UK at lunch today to see this lovely exhibition! Highly recommended! #MOOi #cambridge https://t.co/B7XttaxXx3,happy,134,we popped to at lunch today to see this lovely exhibition highly recommended mooi cambridge
1602,Unmissable! @TheCassArt Summer Show opens tonight. En route via @_TheWhitechapel http://t.co/jiu97u6zce http://t.co/BIrGcex54y,happy,126,unmissable summer show opens tonight en route via
1603,@spacedlaw I was at the @britishmuseum earlier today and thought if you.. http://t.co/4kNHN8ojXB,nocode,96,i was at the earlier today and thought if you
1604,#UK to try to block departure of #Cezanne painting &gt; http://t.co/hILLrpQI5e @edvaizey @FitzMuseum_UK http://t.co/0U7seGXmGG,nocode,126,uk to try to block departure of cezanne painting
1605,@FitzMuseum_UK  It's beautiful - the colours are so lush and vibrant!,happy,69,it s beautiful the colours are so lush and vibrant
1606,"#NG365 Cornelis Bega's ""An Astrologer"" (1663) @NationalGallery #art #twitart http://t.co/9j0EVzsE3T",nocode,99,ng cornelis bega s an astrologer art twitart
1607,It's amazing &amp; uplifting to visit @NationalGallery in #London. Art is the way to purify the soul @GreatestCapital https://t.co/FtvPHYJAxt,happy,141,it s amazing uplifting to visit in london art is the way to purify the soul
1608,"@lisaj2108 @classarch @FitzMuseum_UK the Herakles one? Yes, found it very  interesting!",happy,87,the herakles one yes found it very interesting
1609,@LabbyTheRat is sending us to @RAMMuseum this Friday. Come to see the latest 3D visualisations of weather forecast data,nocode,119,is sending us to this friday come to see the latest d visualisations of weather forecast data
1610,#JamesRichards combines new installation with turbulent #francisbacon at @_TheWhitechapel http://t.co/oQS2NChfKB http://t.co/jgA4SNombE,nocode,135,jamesrichards combines new installation with turbulent francisbacon at
1611,"Lost in the exquisite crosshatching of this Hendrik Goltzius silverpoint self-portrait @britishmuseum, on view @ngadc http://t.co/KvakpZhVbb",happy,140,lost in the exquisite crosshatching of this hendrik goltzius silverpoint self portrait on view
1612,"#Repost @britishmuseum ・・・ Cupid finds Psyche in this watercolour by Edward Burne-Jones, who died… https://t.co/QrRFufm0YK",nocode,122,repost cupid finds psyche in this watercolour by edward burne jones who died
1613,@marmitage_ @looknorthBBC @NationalGallery @Tate @BBCBreaking @BBCSheffield #freethenipple,not-relevant,90,freethenipple
1614,Testimonis de la civilització assíria procedents de Nínive amb 3500 anys d'antiguitat al @britishmuseum avui http://t.co/T5gIjw2Rsf,nocode,131,testimonis de la civilitzaci ass ria procedents de n nive amb anys d antiguitat al avui
1615,Loving the Monets at @NationalGallery in London.  #inspiration #creativity http://t.co/JvGPYMudFB,happy,97,loving the monets at in london inspiration creativity
1616,Book spotting at @kettlesyard the other week http://t.co/gvoyP0XCgM http://t.co/7UKwsDPucb,nocode,90,book spotting at the other week
1617,@britishmuseum wonderful ....gorgeous,happy,37,wonderful gorgeous
1618,@NationalGallery #AskTheGallery Nicholas Penny: Will you reinstate Candy Unwin who a judge believes was dismissed for Trade Union activity?,not-relevant,139,askthegallery nicholas penny will you reinstate candy unwin who a judge believes was dismissed for trade union activity
1619,Great visitor services from @kettlesyard who sent me a new bag for life when mine was faulty - will muss you dearly! #thankyou,happy,126,great visitor services from who sent me a new bag for life when mine was faulty will muss you dearly thankyou
1620,@sallyfryer1 @karolinaglusiec is putting all of the shots together so will be on @kettlesyard website soon,nocode,106,is putting all of the shots together so will be on website soon
1621,#DefiningBeauty @britishmuseum stunning. See it while you can - awe inspiring and uplifting.,happy,92,definingbeauty stunning see it while you can awe inspiring and uplifting
1622,FREE PENS GIVEAWAY on our FB page... @plymouthart @PlymArtsCentre @PlymouthMuseum @plymlibraries http://t.co/0NuvMPbxTr,nocode,119,free pens giveaway on our fb page
1623,Another lovely visit to @_TheWhitechapel I'm always delighted &amp; uplifted by the Children's Commission showing the wonderful school projects,happy,143,another lovely visit to i m always delighted uplifted by the children s commission showing the wonderful school projects
1624,@NationalGallery http://t.co/fVxg4DiRd5 please contact @lancsCC today and stop this destruction of fertile lands. @fractivist @Frack_Off,not-relevant,136,please contact today and stop this destruction of fertile lands
1625,19thc Aussie indigenous resistance leader Jandamarra weapons @britishmuseum: http://t.co/CiW59aU1cy #twitterstorians http://t.co/thsHIAzYxs,nocode,139,thc aussie indigenous resistance leader jandamarra weapons twitterstorians
1626,@Culture24 @britishmuseum EXQUSITE!,happy,35,exqusite
1627,Jericho skull (ME 1274142) &amp; Amenhotep III (EA 3) and a glass of rosé with @sarahdawnscott @britishmuseum,nocode,109,jericho skull me amenhotep iii ea and a glass of ros with
1628,"@newmanmpaul no need to worry, everyone else knows anyway. You are a very lucky man :-) @SimonEvolver @ThelmaHulbert",not-relevant,116,no need to worry everyone else knows anyway you are a very lucky man
1629,.@_TheWhitechapel @marieantoynette Definitely one our our favourite places too! We're absolutely thrilled we're now a short walk away!,happy,134,definitely one our our favourite places too we re absolutely thrilled we re now a short walk away
1630,Mini-potter around @britishmuseum galleries I rarely see - love the Clocks gallery &amp; the incredible automata #museums http://t.co/VR2kVF0daS,happy,144,mini potter around galleries i rarely see love the clocks gallery the incredible automata museums
1631,There's still time to enter our art DVD and book bundle giveaway. Find out more here: htt... http://t.co/DgKCO1nVZQ via @NationalGallery,nocode,136,there s still time to enter our art dvd and book bundle giveaway find out more here htt via
1632,"Saw these and thought of you @EgyptMcr #AnimalMummies (EA 6773, 11134, 6752, 26847) @britishmuseum #GiftsForTheGods http://t.co/OVDXEm2ieX",happy,138,saw these and thought of you animalmummies ea giftsforthegods
1633,"I'm at @NationalGallery in London, Greater London w/ @sivia_t https://t.co/8sSfw4gBz5",nocode,85,i m at in london greater london w
1634,@NationalGallery @Postgate do today's visitors to a picture gallery have different expectations to those of yesteryear?  Can you illustrate?,nocode,140,do today s visitors to a picture gallery have different expectations to those of yesteryear can you illustrate
1635,#artnews for your Sunday afternoon: fantastic new exhibit @NationalGallery http://t.co/RgeZtedTWk. We &lt;3 #DCmuseums!,happy,119,artnews for your sunday afternoon fantastic new exhibit we dcmuseums
1636,Just a little bit excited! The Castle Hill Open Day 2015 schedules have arrived @kettlesyard :)… https://t.co/6pWVeB3ypU,happy,120,just a little bit excited the castle hill open day schedules have arrived
1637,FINALLY it's #DefiningBeauty @britishmuseum day! Can't wait to feel overwhelming awe.,happy,85,finally it s definingbeauty day can t wait to feel overwhelming awe
1638,Last chance to see Kettle’s Yard for two years!!!! @kettlesyard @Cambridge_Uni  http://t.co/l0na03S7XD,nocode,102,last chance to see kettle s yard for two years
1639,"A ‘sparkling show’ of Turner, Singer Sargent &amp; Cézanne watercolours @FitzMuseum_UK, Cambridge http://t.co/DE5pfaXQGt http://t.co/IgXoaHmhGJ",happy,143,a sparkling show of turner singer sargent c zanne watercolours cambridge
1640,Ancient beauty and modern lives http://t.co/KbfVyv4HLh via @britishmuseum,nocode,73,ancient beauty and modern lives via
1641,Bacchae are getting ready for performing at the @britishmuseum on the 23rd July! Have a look here for more details! http://t.co/9n17H49HsU,nocode,138,bacchae are getting ready for performing at the on the rd july have a look here for more details
1642,So... @TimesSquareNYC and @britishmuseum are responsible for trending #SummerSolstice in America. Hell yeah: http://t.co/cEqC4SLbVS,happy,131,so and are responsible for trending summersolstice in america hell yeah
1643,Another wonderful day! At the Castle St Methodist Church. Please come by! @kettlesyard @LorenPhoto @CambridgeNewsUK http://t.co/LiWuYwEAGP,happy,138,another wonderful day at the castle st methodist church please come by
1644,#DonneInArte #DonneEScultura etrusche e romane @britishmuseum http://t.co/FNxEttScvt,not-relevant,84,donneinarte donneescultura etrusche e romane
1645,@HistoryNeedsYou @britishmuseum is there any particular message?,nocode,64,is there any particular message
1646,"""San Juanito con cordero"" de Bartolomé Esteban Murillo (h. 1665) @NationalGallery @Investigart @cipripedia @CCasconM http://t.co/RIJJKUTtBR",nocode,139,san juanito con cordero de bartolom esteban murillo h
1647,Do you know what's hidden in Holbein's 'The Ambassadors'? Visit room 4 to find out: http:... http://t.co/TvRAWxX2I8 via @NationalGallery,nocode,136,do you know what s hidden in holbein s the ambassadors visit room to find out http via
1648,"@NationalGallery A book symbolises wisdom, armour - resistance to hardships of life, glass may be for medicine?",nocode,111,a book symbolises wisdom armour resistance to hardships of life glass may be for medicine
1649,@JohnConstableRA I only really know the de Hoochs in the @NationalGallery. Thanks for posting these.,happy,100,i only really know the de hoochs in the thanks for posting these
1650,⭐️⭐️⭐️⭐️⭐️ @guardian Jackson #Pollock Blind Spots @tateliverpool!  https://t.co/5ibpzaGJe6,nocode,90,jackson pollock blind spots
1651,"@NationalGallery Wait, no, is there a secret Leonardo drawing slipped inside one of the books?",surprise,94,wait no is there a secret leonardo drawing slipped inside one of the books
1652,@britishmuseum @TripAdvisor @ToutLunivers   Always my first stop in London.,happy,75,always my first stop in london
1653,'Watercolour: Elements of Nature' opens this week at the @FitzMuseum_UK http://t.co/hPALcng9R3 http://t.co/poQhPRjDe2,nocode,117,watercolour elements of nature opens this week at the
1654,@findsorguk @britishmuseum Many thanks for that.,happy,48,many thanks for that
1655,"@NationalGallery The 2rd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland",not-relevant,138,the rd genocide against biafrans as promised by buhari has begun days of unreported aerial bombardment in biafraland
1656,Today I'm at my favourite museum @britishmuseum - pictures to follow http://t.co/btThcsfzTW,happy,91,today i m at my favourite museum pictures to follow
1657,Join me for an art discussion 'Setting the Scene'! @_TheWhitechapel #art #shoreditch #hypeapp http://t.co/VNoaARFr1v http://t.co/Y7mrFmQZ9J,not-relevant,139,join me for an art discussion setting the scene art shoreditch hypeapp
1658,EXPOSE yourself to the elements; Watercolour - Elements of Nature opens @FitzMuseum_UK today 16 Jun-27 Sep 🎨☔️⛅️ http://t.co/yfQYrvaFWq,nocode,135,expose yourself to the elements watercolour elements of nature opens today jun sep
1659,"""The Ancient Egyptian exhibition never fails to teach me something new. There's a..."" Foursquare Tip @britishmuseum http://t.co/hbZEZzk7kX",nocode,138,the ancient egyptian exhibition never fails to teach me something new there s a foursquare tip
1660,Had a fantastic day at the @britishmuseum - managed to get into both #8mummies and #IndigenousAustralia exhibits. Both great!,happy,125,had a fantastic day at the managed to get into both mummies and indigenousaustralia exhibits both great
1661,"Taking the day off work to go to the Gaudier-Brzeska exhibition at @kettlesyard. Just in time, too - closes on Sunday!",happy,118,taking the day off work to go to the gaudier brzeska exhibition at just in time too closes on sunday
1662,Inspire your budding junior artists @NationalGallery #FamilyProgramme https://t.co/LG4CEyKY2j #Children #DubliNow http://t.co/7eUCl4S6S5,nocode,136,inspire your budding junior artists familyprogramme children dublinow
1663,LAST CHANCE to see The Production Line of Happiness by American photograpgher #ChristopherWilliams  @_TheWhitechapel http://t.co/vkIQ0vRW9Y,nocode,139,last chance to see the production line of happiness by american photograpgher christopherwilliams
1664,.@GoldUnveiled @museiincomune @britishmuseum @MuseeLouvre @MarDixon @Museo_MADRE @louvrepourtous @museecarnavalet Torna la @MuseumWeek ! ;-),happy,140,torna la
1665,"Event @NationalGallery, 19 June 6.30pm: James R. Banker on who Piero della Francesca really was. Info: http://t.co/7az5fpa6m2",nocode,125,event june pm james r banker on who piero della francesca really was info
1666,Gorgeous! Look at the craftsmanship!!! Repost @britishmuseum with repostapp. ・・・ Born #onthisday in… https://t.co/W0zWw52bQc,happy,124,gorgeous look at the craftsmanship repost with repostapp born onthisday in
1667,@classarch @Needforcaffeine @FitzMuseum_UK Fancy!  And lucky!!   Don't forget to let me know if the Haka workshop gets booked in :),happy,131,fancy and lucky don t forget to let me know if the haka workshop gets booked in
1668,@NationalGallery oh god!,surprise,24,oh god
1669,"@CamUnivMuseums Our favourite is @computermuseum 'cos of all the old-school videogames they have for you to play, &amp; the ancient computers!",happy,142,our favourite is cos of all the old school videogames they have for you to play the ancient computers
1670,Our manager Rosh has a piece in #EvolverPrize2015 (@SimonEvolver) exhibition which starts next week @ThelmaHulbert https://t.co/30vLHDS0jm,nocode,138,our manager rosh has a piece in evolverprize exhibition which starts next week
1671,"@britishmuseum Hi been trying to phone for two days and no one ever picks up, are your phones down?",sad,99,hi been trying to phone for two days and no one ever picks up are your phones down
1672,Next week the @RandomActsNorth Roadshow will be @eden_arts @tateliverpool &amp; Sunderland Library - book your place at http://t.co/ePJlhTVU55,nocode,142,next week the roadshow will be sunderland library book your place at
1673,@Tate @tateliverpool Got my train ticket booked already! #cantwait,happy,66,got my train ticket booked already cantwait
1674,.How To Make A Turquoise Goblet. via @britishmuseum https://t.co/mgnzAKnDSf,nocode,75,how to make a turquoise goblet via
1675,Now you can ask the Director of @NationalGallery with #AskTheGallery   http://t.co/Ft5KgYvxCJ,not-relevant,93,now you can ask the director of with askthegallery
1676,"@NationalGallery The second GENOCIDE against #Biafrans as promised by #Buhari has begun, 3 days of unreported aerial Bombardment in #Biafra",not-relevant,139,the second genocide against biafrans as promised by buhari has begun days of unreported aerial bombardment in biafra
1677,Link http://t.co/YRDlz4W2mF por @britishmuseum es el tuit más popular en mis 'news feed' de hoy,not-relevant,95,link por es el tuit m s popular en mis news feed de hoy
1678,Great news for #barbarahepworth legacy in St.ives with Palais de danse workshop passing to @Tate_StIves  http://t.co/Wfj2o6B7xV,happy,127,great news for barbarahepworth legacy in st ives with palais de danse workshop passing to
1679,"Laura Smith from @Tate_StIves brilliant on Woolf and Kristeva, feminine vs. masculine time #materialhistories",nocode,109,laura smith from brilliant on woolf and kristeva feminine vs masculine time materialhistories
1680,nigga wearing chestnuts @EuropesHistory @NationalGallery,nocode,56,nigga wearing chestnuts
1681,Discover The Arts with Social Media: Rod McIntosh Co-Founder of NOHO Artists https://t.co/d5VDMg914E @NationalGallery #London #Art #Video,nocode,137,discover the arts with social media rod mcintosh co founder of noho artists london art video
1682,"@BMAGcurators @NationalGallery Yes, it is.  It's hard to believe that Bernard Berenson disparaged Reni.",surprise,103,yes it is it s hard to believe that bernard berenson disparaged reni
1683,@LisaLooly @newmanmpaul @DrawntoDevon @MooseAllain @DavidSmithArt yes see you all @ThelmaHulbert! #EvolverPrize2015 #Art #southwest,happy,131,yes see you all evolverprize art southwest
1684,.@Tate_StIves acquires Barbara Hepworth's Palais de Danse workshop - BBC News. Great news!#barbarahepworth #sculpture http://t.co/7XWE7Rg2Cs,happy,140,acquires barbara hepworth s palais de danse workshop bbc news great news barbarahepworth sculpture
1685,@kettlesyard thanks - we'll let them out again past the massive door.,nocode,69,thanks we ll let them out again past the massive door
1686,We're next door to @AFCCommunity @britishmuseum http://t.co/O3Svv8LHAE,nocode,70,we re next door to
1687,"The Greek inscription on the sitter's cap in this work translates to 'Alas, I desire too ... http://t.co/MveAPjvQuO via @NationalGallery",nocode,136,the greek inscription on the sitter s cap in this work translates to alas i desire too via
1688,"#LastChance See Christopher William's exhibit ""The Production Line of Happiness"" at @_TheWhitechapel. Closes Sunday!",nocode,116,lastchance see christopher william s exhibit the production line of happiness at closes sunday
1689,@NationalGallery http://t.co/An3oyQUZ1a,nocode,39,
1690,"@EricParis @NationalGallery En fait, série de Monet de12 toiles, 3e expo impressionniste en 1877 + pont de l'Europe http://t.co/TYi418gbkw",nocode,138,en fait s rie de monet de toiles e expo impressionniste en pont de l europe
1691,Very interesting conference coming up @NationalGallery #artmarket http://t.co/mGFBQ8eB9P,happy,88,very interesting conference coming up artmarket
1692,@morbidanatomy Lessons in Death and Living. Death in @NationalGallery paintings. Can we still relate to them? http://t.co/fS8dtBot3Z,nocode,132,lessons in death and living death in paintings can we still relate to them
1693,We are very pleased to provide the speaker cable for  #Soundscapes at the @NationalGallery. http://t.co/xiQcVZJZ4s http://t.co/YvIfXqYtTq,not-relevant,137,we are very pleased to provide the speaker cable for soundscapes at the
1694,"Gold finger ring/armillary sphere, German, 17thc. @britishmuseum. Curious to know how this is worn on the finger. http://t.co/N4aMqeD8Ad",surprise,136,gold finger ring armillary sphere german thc curious to know how this is worn on the finger
1695,@dpanikkar @Chemburstudio @DalrympleWill Here a #Girl luring quicksilver from a mine with her beauty c18th #Mughal @britishmuseum,nocode,129,here a girl luring quicksilver from a mine with her beauty c th mughal
1696,Review of a super workshop at @NationalGallery looking at Canaletto’s Festival of St Roch from my art diary.  http://t.co/RMfmmwZLd6,happy,132,review of a super workshop at looking at canaletto s festival of st roch from my art diary
1697,Last weekend to go to @kettlesyard in #Cambridge for two years this weekend. GO GO GO! http://t.co/5E95jO4Prq #art #culture #refurbishment,happy,138,last weekend to go to in cambridge for two years this weekend go go go art culture refurbishment
1698,@artfund @NationalGallery @HelenHillyard @BM_AG That's a very fine Matthias Stom.,happy,81,that s a very fine matthias stom
1699,"@britishmuseum ""valleylist) v340 r.1—medium is the message should work for most people most of the time--internet https://t.co/dEfVUqdeAP",nocode,137,valleylist v r medium is the message should work for most people most of the time internet
1700,@britishmuseum it's a greave!,nocode,29,it s a greave
1701,"Saw this &amp; thought of you @BiomedBabe... Mummy of unidentified man, Roman Period (EA 6714) @britishmuseum #DeadThings http://t.co/ssx7k5kZRF",nocode,144,saw this thought of you mummy of unidentified man roman period ea deadthings
