,emotion,clean_text
1261,nocode,read director nichola penni say begin juli via
1262,nocode,
1263,not-relevant,sorri member mean
1264,nocode,ng jacob van ruisdael pool surround tree art
1265,happy,tri spot life draw fabul cambridg
1266,nocode,top art show c london
1267,not-relevant,absolut da verkaufen liegt den berlin museen nicht wirklich
1268,happy,hahaha show woman eavesdrop saw go spot right
1269,nocode,khufu found cheop gefunden build high pyramid interakt ebook
1270,nocode,gustav caillebott painter eye washington
1271,nocode,pick copi beauti catalogu cabinet curio blue caravan
1272,happy,day dream date fine fella adventureswithtuck
1273,happy,pretti cool
1274,happy,love thought young woman amaz grace mani bear disabl
1275,nocode,view tonight sleepov
1276,happy,new galleri exhibit hit visitor
1277,happy,preciosa muy representativa
1278,nocode,speech lord includ noprivatis reinstatecandi reinstatecandi
1279,happy,excit castl hill open day tomorrow load great stuff famili free
1280,not-relevant,parmi le grand neig de monet gusta
1281,nocode,greek bodi tonight panel classic nation greek bodi enlighten europ
1282,happy,thank much
1283,happy,tate also one favourit via twitter
1284,angry,peopl care paint v cheap temporari contract unknowledg staff askthegalleri
1285,nocode,postgradu student visit galleri
1286,nocode,tarot garden took year open
1287,nocode,palm contemporarybritishartist modernist
1288,nocode,link day popular link among peopl follow
1289,angry,askthegalleri recommend truste end oil sponsorship make ppl complicit climat chang see public art
1290,happy,wonder
1291,not-relevant,second genocid biafran promis b buhari begun day unreport aerial bombard biafralland
1292,happy,rememb experi defin pair chair throughout peac sociabl
1293,happy,look forward unveil jacksonpollock exhibit tonight corporatesupport liverpool cultur
1294,nocode,limit print avail order
1295,happy,love sketch w part juli jackson wksp
1296,happy,love wow realli interest
1297,nocode,art london ttot lp vacat trip photographi photo travel travelp
1298,happy,mess curatori kittygod sekhmet bastet
1299,nocode,plea confirm cost employ ci staff rembrandt exhibit sainsburi wing askthegalleri
1300,nocode,chair board hannah rothschild ff rothschild bd gaza
1301,nocode,share learn mind session rachel research silenc galleri magwellb
1302,nocode,call indiana jone explor extraordinari guid museum ingeni galleri trail
1303,happy,new wing night stun
1304,angry,drink permit museum clearli display entranc
1305,happy,call art teacher great opportun see forthcom exhibit art liverpool
1306,nocode,april june greek god hero exhibit british museum museumhistori exhibit
1307,nocode,lovewin georg seurat tude pour baigneur asni re
1308,happy,loveart
1309,nocode,wait tomorrow wonder watercolour element natur open june
1310,happy,fantast afternoon explor
1311,happy,fantast open night sir terri frost wonder curat
1312,happy,radiant certainli worth anoth look jackson pollock late work
1313,nocode,pineappl shape knob rail outsid fitzwilliam museum object
1314,happy,event team visit today prepar forthcom event
1315,happy,longest day yet neither earliest sunris latest sunset
1316,nocode,castl hill open day
1317,nocode,una greba
1318,happy,huge east london art wander today keep art local
1319,nocode,volunt need artist room gerhard richter deadlin thur sept artopp
1320,nocode,join best digit interactldn oct ux ia design
1321,not-relevant,
1322,happy,indigen australia realli worth look
1323,nocode,jackson pollock gave paint via blind spot june octob jackthedripp
1324,nocode,might appl
1325,happy,delight work select evolv prize look forward show
1326,disgust|angry,happili profit display artefact uneth obtain countri oppress invas
1327,nocode,head prep talk ticket sale interactldn
1328,happy,look like kind parti
1329,happy,capit day remind everyth use know bout statu vase definingbeauti susanwoodford
1330,happy,thank andrew nairn director share insight student today
1331,nocode,etch ovid metamorphos artist salvat rosa born otd
1332,happy,incred innov part use dprint uncov past histori tech
1333,happy,gloriou site darkroom readi use film
1334,nocode,london greater london
1335,nocode,done respect think gener ok see tough call
1336,happy,amen
1337,happy,st ive beauti whatev weather book octob
1338,nocode,cambridg univers grant honorari degre great eight includ director
1339,not-relevant,art galleri cornwal set undergo expans remodel engin
1340,nocode,discov nake truth behind greek art exhibit run th juli
1341,nocode,none
1342,nocode,ask co napolean use say armi march stomach
1343,happy,ph nom nal merci
1344,happy,thank book prize draw
1345,nocode,revisit fossil sea scorpion use world largest spider evolut oldfriend
1346,happy|sad,beauti exhibit fabul space tad asham time took u rememb oedipu trilog name
1347,happy,beauti rt immeris new exhibit soundscap open juli
1348,nocode,happi birthday ruben born onthisday samson delilah room
1349,happy,great pub fond holiday memori
1350,nocode,leg shield guard mayb
1351,nocode,chanc definingbeauti exhibit extend
1352,nocode,week last week peopl visit kettl yard castl hill open day sat
1353,happy,one proudest moment
1354,nocode,even guy agre schwarber player game
1355,nocode,exhibit open look forward week includ ruskin turner
1356,nocode,still
1357,nocode,british museum collect object detail
1358,happy,good unobtrus use technolog revamp waddestonbequest esp palmer cup
1359,nocode,parad shield
1360,happy,sun time holiday plan summer museum programm readi brow
1361,nocode,lisa may thoma explor human touch touch diari film premier juli
1362,nocode,brexit give back parthenon statu greec put michel constant spipe instead
1363,happy,art enthusiast miss love everi minut pic
1364,nocode,guter punk
1365,nocode,whole magritt exhibit
1366,happy,love museum
1367,nocode,two work art made yr apart see sir caro take duccio annunci free entri
1368,happy,congratul last day thrill renov delight share journey
1369,nocode,curiosa exposici n monogr fica de marco sansovino en de londr hasta el
1370,happy,truli love even definingbeauti thank everyth superstar
1371,happy,thank great afternoon saturday fascin film convers theartistspres
1372,happy,great tonight hear defeatingdepress lot person stori hope futur timetochang
1373,happy,afternoon go good one
1374,nocode,favourit exhibit sinc
1375,happy,wonder morn thank u learn team cornwal
1376,nocode,would abl help paint info copenhagen harbor
1377,happy,enjoy demonstr must take year master beauti artistri
1378,nocode,know mani time walk staircas
1379,angry,askthegalleri dr penni face public outcri petit nearli signatur halt privatis
1380,nocode,monet marri wife camil onthisday
1381,nocode,visst du att british museum london bara visar av hela sin saml
1382,happy,may stun exhibit
1383,nocode,miss ming exhibit last year bring speed
1384,happy,perfect weather weekend arm forc day plymouth
1385,happy,look amaz cece fifi beau prob bit old
1386,nocode,peri today
1387,not-relevant,nd genocid biafran promis buhari begun day unreport aerial bombard biafraland
1388,angry,solidar strike nation galleri privat tuclgbt
1389,happy,hedg bindwe forc peckham plant grow around st helen amaz pendant
1390,happy,thank much david
1391,sad,lot question privatis sack rep askthegalleri v disappoint address
1392,happy,love sure royal way much money
1393,not-relevant,ff happi friday
1394,nocode,close portlandvas roman cameo glass
1395,nocode,ye describ come one world first mass grave
1396,nocode,last one current polit
1397,happy,enjoy british librari crime classic seri bought hatchard
1398,happy,workshop today manchu money great money stink thank
1399,happy,longest day new begin big posit chang come day
1400,happy,thank look great
1401,not-relevant,none
1402,happy,nation galleri love train help access
1403,nocode,richard iii becam king england onthisday show juli aug via
1404,happy,thank
1405,happy,piero della francesca one favourit piec ever
1406,sad,sinc includ would nice see felt like concessionari nod
1407,nocode,leav horniman commun group
1408,nocode,bodi import subject art ancient greec god sport star
1409,not-relevant,carlemagn
1410,not-relevant,grazi ffback
1411,nocode,weapon resist indigenousaustralia curat gay blog jandamarra
1412,not-relevant,come ca art liverpool get creativ outsid tri tabl
1413,nocode,st eleftherio greek school trip british museum see britishmuseum
1414,nocode,plu recent evid survey
1415,happy,realli enjoy earli morn visit definingbeauti lot work even seen book bmimag com
1416,happy,support great event rd year sat th june pm pm
1417,happy,studio work done joy
1418,happy,look forward jackson pollock blind spot never mind pollock drip pour
1419,not-relevant,none
1420,nocode,tweet baroqu today work reni collecti via
1421,not-relevant,post inform leaflet etc school librarian lrc manag larg school librari north london
1422,happy,fav birfday boy
1423,happy,thank abl view definingbeauti statuari side often neglect display callipygian
1424,nocode,new portfolio recent art glass project avail download
1425,nocode,see
1426,disgust,work link ok browser perhap x rate content
1427,nocode,napoleon lost waterloo histori
1428,happy,pedagoofriday trip given student plu love treasur hunt resourc
1429,nocode,trainer sandl
1430,nocode,pm preview castlehillopen day cambridg
1431,nocode,flamin artist present w sarah turner larissa sansour sat
1432,nocode,imag cambridg may mediev ascens stone
1433,happy,look amaz getinmywelli
1434,nocode,hinzu kommt da market ber die sprach jeder engl lerner liest ber und natgal
1435,nocode,support striker privatis thank
1436,nocode,london greater london
1437,happy,k tomorrow hope forget bring water pack lunch hotweath
1438,nocode,next monday index editor barbara pezzini give lectur
1439,not-relevant,askthegalleri glad hear taken note
1440,happy,enchant cambridg favourit art galleri favourit hous
1441,happy,terri frost soft sculptur look fantast
1442,nocode,solidar blog assist strike crucial pay attent via
1443,nocode,m marini discus paint student stockleyart
1444,happy,love idea go suggest day
1445,happy,jame richard extraordinari instln brilliantli obliqu piec critic interpret sonic art theori lush
1446,nocode,heard exhibit canaletto masterpiec regatta grand canal juli sundaletto
1447,nocode,la fontain de la cross rouen john sell cotman via
1448,nocode,find workshop prepar world via
1449,happy,stun
1450,nocode,drawn spot lunchtim marcia furnilla definingbeauti thedailysketch
1451,nocode,attend stepp beyondeldorado cheltlitfest event exhibit
1452,happy,cool play w today thank v clever informat lab team come
1453,happy,thank
1454,nocode,monday index editor barbara pezzini talk modern brit art
1455,nocode,none
1456,nocode,morn selfi rather rapa nui easter island head ancestor stone
1457,nocode,london greater london
1458,nocode,bather asnier
1459,happy,pollock ligon bratescu great time visit thank love day
1460,happy,stun congratul made home learn investig past princ
1461,not-relevant,descubrir la diversidad del art griego antiguo en la gran expo definingbeauti hasta el de julio
1462,happy,happi museummonday
1463,nocode,wrexham museum launch egypt exhibit
1464,nocode,pupil bourn primari academi explor watercolour element
1465,nocode,waddesdon bequest film neil mcgregor grayson perri edmund de waal etc
1466,nocode,tweet question use askthegalleri q director nichola penni ht via
1467,nocode,e smart group arburi show dee interpret grizzli bear inspir
1468,nocode,jame bond woman virtual project
1469,surprise,hmmmm teapot
1470,nocode,none
1471,happy,paint sound nice concept look forward go soundscap audio art
1472,not-relevant,nd genocid biafran promis buhari begun day unreport aerial bombard biafraland
1473,happy,realli realli look forward
1474,nocode,nake ladi show
1475,happy,beat view rooftop dome restaur
1476,happy,perfect choic today thank
1477,nocode,toddlet pop tale koan puppet lilianelijn imoo imagesmovingoutontospac
1478,nocode,come visit cambridg open studio artist coleridg area welcom
1479,nocode,si te lo perdist aqu est el link popular entr la gent que sigo por
1480,happy,seen one fave conserv team bbc well done team
1481,nocode,askthegalleri would highlight digit strategi
1482,nocode,bloodi scouser
1483,happy,priceless stun rosetta stone help hieroglyph ancient egypt deciph wow
1484,nocode,first day back london list pub lunch nando lse parliament
1485,nocode,hey artist homag piec yr collect anti slaveri medallion c video
1486,nocode,exet ramm millionth visitor receiv uniqu gift
1487,nocode,got whole world hand
1488,happy,great hear penni promot great work alreadi occur mh collect ident defeatingdepress
1489,not-relevant,twitter handl must tweet biafran second genocid
1490,nocode,check product quick look
1491,nocode,photo
1492,happy,love learn lot
1493,happy,treat tuesday afternoon visit indigenousaustralia endur civilis sen word
1494,nocode,kiss v
1495,nocode,mani hors kill waterloo waterloo
1496,angry,help u rt shell sponsor work want privatis u shellno
1497,nocode,achtet genau auf den sonnenaufgangspunkt wsw ssw innerhalb der tempel monument heiligt mer
1498,nocode,book field visit programm
1499,happy,look forward updat
1500,nocode,ok
1501,happy,none
1502,nocode,also harpi tomb call dame spirit junior away
1503,nocode,england fraunc
1504,happy,agre love day ar next cultur outing plan soon
1505,nocode,pindah lagi eheh
1506,happy,year check ancient egypt artefact schooltrip learn funtim
1507,happy,serious sweet locat build
1508,nocode,first truli scarc byte world seen histori make inde
1509,nocode,particular piec strive acquir
1510,nocode,chri wingfield read john p mccarthi paper negoti african ident cemeteri first african baptist church pa
1511,happy,final saw frame sansovino beauti
1512,nocode,see christoph william product line happi via
1513,nocode,see christoph william product line happi via
1514,happy,love today thank share art public beautifulth
1515,nocode,ng jacob van ruisdael panoram view amsterdam art
1516,happy,sculptur parthenon w zada beda wow
1517,happy,big shout huge congratul newli display baroqu galleri launch
1518,nocode,probabl julio claudian princ horseback great court romanstatu archaeolog
1519,not-relevant,receiv answer yet askthegalleri
1520,nocode,discov art social medium noho co founder rod mcintosh noho origin london art
1521,not-relevant,second genocid biafran promis buhari begun day unreport aerial bombard biafra
1522,happy,plu rock amaz dress
1523,nocode,london greater london
1524,nocode,ng vermeer young woman seat virgin c art twitart
1525,happy,tenur realli improv environment perform achiev carbon trust standard next askthegalleri
1526,happy,problem enjoy amaz least anoth minut
1527,nocode,save date artist talk svend bayer tue juli pm
1528,nocode,review new exhibit sort
1529,happy,snap ridicul pretti cage glass ceil thing got go def
1530,nocode,attend adjourn debat tomorrow noprivatis reinstatecandi
1531,happy,hous inuit art big hit work experi student
1532,nocode,u post breastfeed anyway nat l celebratebreastfeed week th june
1533,happy,brilliant museum friend museum v nice thank sarah jane
1534,nocode,handstand galleri hear walton youth project partnership part circuit
1535,nocode,review leonora carrington visit mexicanart surreal artreview
1536,surprise,swiss armi knife realli roman armi knife go engrav spqr mine
1537,nocode,friday look youngest plan trip see jackson pollock blind spot exhibit culturedtoddl
1538,happy,sneak preview delight deleg confer sampl
1539,not-relevant,ruin spain
1540,happy,make great bbc tv documentari
1541,nocode,capp eu meet helsinki
1542,happy,went love show last week late run catalogu made appear
1543,nocode,never bother look latin thank
1544,happy,happi look like good event
1545,happy,one favourit copi ng frame hang right next
1546,nocode,ethelmaud exquisit corp london lumin latitud new artist film scotland
1547,nocode,taster upcom seminar arabian studi w next month
1548,nocode,check corin sworn exhibit art prize woman
1549,nocode,topic suggest kati ball find professor manakata british museum adventur yukinobo manga exhibit
1550,nocode,anyth known dumouriez light waterloo said wellington waterloo
1551,nocode,andrew robert anyth napoleon exil death st helena waterloo waterloo
1552,nocode,detail bottom left claud monet water lili monet
1553,happy,tube thank complet thrill
1554,nocode,piero cosimo satyr mourn nymph ca london
1555,nocode,want read londonartweek
1556,happy,makeway noddi enjoy new enidblyton exhibit sevenstori
1557,happy,set st peter cambridg castlehil open day look great day
1558,nocode,jame richard compos sonic score franci bacon paint part vac collect display
1559,nocode,rememb watch build offic tower next door hotel
1560,happy,knew work graphit would one day pay
1561,not-relevant,none
1562,happy,pierodellafrancesca fascin tou le visiteur de la
1563,happy,today fun take museumselfi whilst photograph socialfabr exhibit
1564,nocode,tomb nebamun bc egyptolog archaeolog ancientegypt
1565,happy,excit flash resid summer start next month
1566,nocode,see photo wednesday defeatingdepress event
1567,nocode,lo vist el tuit popular de hoy entr la persona que sigo por
1568,nocode,friday night listen tim knox speak countri hous collect object
1569,happy,amaz morn emptyng event privileg big thank u
1570,nocode,auspici jewel symbol bubbl c th japanes paint seven god good fortun
1571,nocode,shoutabout askthegalleri got plan london focus exhibit e london age
1572,nocode,life lesson old master death juli deathart jon underwood
1573,happy,curat superb show paint terri frost terryfrost leed paint
1574,happy|surprise,new waddesdon collect room quit someth seen much bling sinc vienna
1575,sad,tri book member curat talk guid tour pollock link work sold
1576,happy,new look ancient egyptian textil via
1577,nocode,come hear song folkway archiv play band juli
1578,happy,look forward workshop work older ppl explor diver sustain partnership agefriendlymuseum
1579,nocode,vast databas african rock art goe onlin
1580,nocode,nichola penni outgo director knight servic art
1581,nocode,day australia garden canberra daysofaustralia apicaday
1582,nocode,fallen emperor napoleon plymouth sound exhib th sept art waterloo
1583,surprise,one look real
1584,nocode,coffe time think pen pen pen like rose
1585,nocode,jame richard accompani franci bacon goosebump
1586,nocode,insta today longest day northern hemispher summersolstic stoneh
1587,nocode,open pm tonight start weekend u via
1588,nocode,make led circuit brooch british museum weekend
1589,nocode,dear divest u join stop accept fossil fuel industri askthegalleri
1590,nocode,short video clip terma underwat throne perform last weekend
1591,happy,littl bit excit tomorrow big weekend friend castlehil
1592,nocode,think web view hard get right balanc cannot help forger copyist much
1593,happy,today look mummi happysuday
1594,nocode,ok min
1595,happy,enjoy excel artist talk glen ligon
1596,not-relevant,nd genocid biafran promis buhari begun day unreport aerial bombard biafraland
1597,nocode,plea look comment lichtenstein art
1598,nocode,hi israel
1599,surprise,napoleon realli say britain nation shopkeep
1600,sad,ye mermaid wonder scari kid seem gone last time look
1601,happy,pop lunch today see love exhibit highli recommend mooi cambridg
1602,happy,unmiss summer show open tonight en rout via
1603,nocode,earlier today thought
1604,nocode,uk tri block departur cezann paint
1605,happy,beauti colour lush vibrant
1606,nocode,ng corn bega astrolog art twitart
1607,happy,amaz uplift visit london art way purifi soul
1608,happy,herakl one ye found interest
1609,nocode,send u friday come see latest visualis weather forecast data
1610,nocode,jamesrichard combin new instal turbul francisbacon
1611,happy,lost exquisit crosshatch hendrik goltziu silverpoint self portrait view
1612,nocode,repost cupid find psych watercolour edward burn jone die
1613,not-relevant,freethenippl
1614,nocode,testimoni de la civilitzaci as ria proced de n nive amb ani antiguitat al avui
1615,happy,love monet london inspir creativ
1616,nocode,book spot week
1617,happy,wonder gorgeou
1618,not-relevant,askthegalleri nichola penni reinstat candi unwin judg believ dismiss trade union activ
1619,happy,great visitor servic sent new bag life mine faulti mus dearli thankyou
1620,nocode,put shot togeth websit soon
1621,happy,definingbeauti stun see awe inspir uplift
1622,nocode,free pen giveaway fb page
1623,happy,anoth love visit alway delight uplift child commiss show wonder school project
1624,not-relevant,plea contact today stop destruct fertil land
1625,nocode,thc aussi indigen resist leader jandamarra weapon twitterstorian
1626,happy,exqusit
1627,nocode,jericho skull amenhotep iii ea glass ro
1628,not-relevant,need worri everyon el know anyway lucki man
1629,happy,definit one favourit place absolut thrill short walk away
1630,happy,mini potter around galleri rare see love clock galleri incred automaton museum
1631,nocode,still time enter art dvd book bundl giveaway find htt via
1632,happy,saw thought animalmummi ea giftsforthegod
1633,nocode,london greater london w
1634,nocode,today visitor pictur galleri differ expect yesteryear illustr
1635,happy,artnew sunday afternoon fantast new exhibit dcmuseum
1636,happy,littl bit excit castl hill open day schedul arriv
1637,happy,final definingbeauti day wait feel overwhelm awe
1638,nocode,last chanc see kettl yard two year
1639,happy,sparkl show turner singer sargent c zann watercolour cambridg
1640,nocode,ancient beauti modern live via
1641,nocode,baccha get readi perform rd juli look detail
1642,happy,respons trend summersolstic america hell yeah
1643,happy,anoth wonder day castl st methodist church plea come
1644,not-relevant,donneinart donneescultura etrusch e roman
1645,nocode,particular messag
1646,nocode,san juanito con cordero de bartolom esteban murillo h
1647,nocode,know hidden holbein ambassador visit room find http via
1648,nocode,book symbolis wisdom armour resist hardship life glass may medicin
1649,happy,realli know de hooch thank post
1650,nocode,jackson pollock blind spot
1651,surprise,wait secret leonardo draw slip insid one book
1652,happy,alway first stop london
1653,nocode,watercolour element natur open week
1654,happy,mani thank
1655,not-relevant,rd genocid biafran promis buhari begun day unreport aerial bombard biafraland
1656,happy,today favourit museum pictur follow
1657,not-relevant,join art discus set scene art shoreditch hypeapp
1658,nocode,expo element watercolour element natur open today jun sep
1659,nocode,ancient egyptian exhibit never fail teach someth new foursquar tip
1660,happy,fantast day manag get mummi indigenousaustralia exhibit great
1661,happy,take day work go gaudier brzeska exhibit time close sunday
1662,nocode,inspir bud junior artist familyprogramm child dublinow
1663,nocode,last chanc see product line happi american photograpgh christopherwilliam
1664,happy,torna la
1665,nocode,event june pm jame r banker piero della francesca realli info
1666,happy,gorgeou look craftsmanship repost repostapp born onthisday
1667,happy,fanci lucki forget let know haka workshop get book
1668,surprise,oh god
1669,happy,favourit co old school videogam play ancient comput
1670,nocode,manag rosh piec evolverpr exhibit start next week
1671,sad,hi tri phone two day one ever pick phone
1672,nocode,next week roadshow sunderland librari book place
1673,happy,got train ticket book alreadi cantwait
1674,nocode,make turquois goblet via
1675,not-relevant,ask director askthegalleri
1676,not-relevant,second genocid biafran promis buhari begun day unreport aerial bombard biafra
1677,not-relevant,link por e el tuit popular en mi news feed de hoy
1678,happy,great news barbarahepworth legaci st ive palai de dans workshop pas
1679,nocode,laura smith brilliant woolf kristeva feminin v masculin time materialhistori
1680,nocode,nigga wear chestnut
1681,nocode,discov art social medium rod mcintosh co founder noho artist london art video
1682,surprise,ye hard believ bernard berenson disparag reni
1683,happy,ye see evolverpr art southwest
1684,happy,acquir barbara hepworth palai de dans workshop bbc news great news barbarahepworth sculptur
1685,nocode,thank let past massiv door
1686,nocode,next door
1687,nocode,greek inscript sitter cap work translat ala desir via
1688,nocode,lastchanc see christoph william exhibit product line happi close sunday
1689,nocode,none
1690,nocode,en fait rie de monet de toil e expo impressionnist en pont de l europ
1691,happy,interest confer come artmarket
1692,nocode,lesson death live death paint still relat
1693,not-relevant,plea provid speaker cabl soundscap
1694,surprise,gold finger ring armillari sphere german thc curiou know worn finger
1695,nocode,girl lure quicksilv mine beauti c th mughal
1696,happy,review super workshop look canaletto festiv st roch art diari
1697,happy,last weekend go cambridg two year weekend go go go art cultur refurbish
1698,happy,fine matthia stom
1699,nocode,valleylist v r medium messag work peopl time internet
1700,nocode,greav
1701,nocode,saw thought mummi unidentifi man roman period ea deadth
1702,happy,undoubtedli one beauti museum europ miss marbl though greec
1703,nocode,current film spice box perman legaci hous
1704,happy,love recept monday eventprof
1705,happy,look forward volunt visit today
1706,nocode,courteou remind cambridg close two year refurb sunday
1707,nocode,realis talk came put halfpenni box
1708,nocode,tomb nebamun bc egyptolog archaeolog ancientegypt
1709,nocode,u consid work around build engag w collect u take holist approach askthegalleri
1710,happy,one favourit galleri
1711,nocode,hi strike plea
1712,nocode,latest purg announc athen new fran zwartj album endless tape seri ec
1713,nocode,everyth need know jackson pollock gotta go
1714,happy,excit summerschool session tomorrow speaker
1715,nocode,ng bronzino portrait young man loan art twitart
1716,nocode,review display el greco mark loan altarpiec louvr
1717,nocode,minneapoli rock garden
1718,happy,love space nice perform x
1719,nocode,well said
1720,happy,second phase cornwal tate st ive steam ahead
1721,happy,fun
1722,happy,worri good hear might see th wonder tweet might
1723,nocode,head insid pari goldsmith workshop design gold box dr heik zech
1724,happy,feel enid blyton today enid expo start today tri famou action
1725,nocode,watercolour element natur exh open today accompani display turner watercolour
1726,not-relevant,le directeur de la est en q demain profiton en
1727,happy,art
1728,nocode,none
1729,nocode,ancient jomon pot reus yr ago tea ceremoni archaeolog object
1730,happy,happi work select exhibit evolverpr
1731,nocode,thank london keep safe assyrian mosul iraq mesopotamia war heritag
1732,nocode,oh ye would ask
1733,nocode,none
1734,nocode,licens koan sculptur promot materi imoo
1735,nocode,respons originalil soundsofourshor rebut w un origin concept
1736,nocode,art london ttot lp vacat trip photographi photo travel travelp
1737,nocode,monet green park london
1738,nocode,day left enter comp win trip
1739,happy,favourit pictur day
1740,happy,thank much fave rt today much appreci good week
1741,nocode,coin room display genesi block
1742,nocode,preci sint jan de dag dat echt labbekakken geen werk meer hebben eindvanaspergeseizoen
1743,nocode,turner ann
1744,happy,excel christoph william
1745,nocode,twitter q bst waterloo bonaparteandthebritish
1746,angry,staff privatis next sell donat work council without consult ask miss art
1747,happy,thank come helen love meet glad enjoy
1748,nocode,move imag screen event discus topic tomorrow
1749,nocode,none
1750,happy,fascin exhibit come stay tune detail
1751,nocode,anniversari confer juli attend free book essenti bm box offic
1752,nocode,jackson pollock blind spot glenn ligon encount collis geta br tescu
1753,not-relevant,nd genocid biafran promis buhari begun day unreport aerial bombard biafraland
1754,nocode,public urin call vespasienn
1755,happy,intens well written lgbt histori exhibit definingbeauti r b parkinsson
1756,nocode,today pm make promot british art
1757,happy,ancientl exhibit wow
1758,nocode,member support email mp urg attend debat june noprivatis reinstatecandi
1759,happy,wonder landscap
1760,nocode,ye bit skullduggeri
1761,surprise,hang build renov great expens
1762,not-relevant,creepi face appear st ive scone
1763,happy,realli excit jackson pollock exhibit end month
1764,nocode,articl ancient greec everyon lip
1765,nocode,join monday night half price wine club nationalcaf enjoy new bar menu
1766,happy,talk clay pipe potteri today begin fab collabor project
1767,nocode,athen symposium radic film contemporari greec jul pm
1768,nocode,none
1769,nocode,lunch time refuel
1770,nocode,jackson pollock gave paint
1771,not-relevant,twitter q tmrw director askthegalleri today kickoutshel reinstatecandi
1772,not-relevant,come get bevvi
1773,not-relevant,construct steam ahead tate st ive phase two
1774,nocode,ff
1775,nocode,greav si fanci name shin guard english progress leap
1776,happy,research british museum one fabul place archaeolog
1777,nocode,incident convo tomorrow talkin theatric contemp art stage design
1778,happy,within day realis need buy two titian greatest paint via
1779,nocode,favourit artwork made commemor waterloo
1780,nocode,construct steam ahead tate st ive phase two
1781,nocode,none
1782,nocode,bud artist cant stop draw get kid artwork wall
1783,disgust,know disgust asham
1784,not-relevant,e battl sia
1785,happy,late pollock set one provoc absorb show
1786,nocode,believ mr thatcher thought compliment use frequent speech
1787,happy,show work product line happi realli interest hang subject
1788,happy,alway manag fresh unexpect done pollock brilliant
1789,nocode,analysi metal compound within prussian forc sword bonaparteandthebritish waterloo
1790,sad,wish would help improv bloomsburi sq hundr visitor museum pas everi day
1791,happy,cantabridgia daili stori via
1792,nocode,artist jackson pollock black pour exhibit largest exhibit decad
1793,happy,treat rt exhibit first time year ruskin turner cont
1794,happy,patient sharp ward enjoy histor view citi thank
1795,nocode,none
1796,happy,crowd forc today love warm afternoon
1797,nocode,object second keynot tim knox
1798,nocode,sat castlehil pack free event indoor age plu last chanc see
1799,happy,favorit museum london fantast artifact militari human civil geolog
1800,happy,look forward honiton ice cream shop visit way juli see prize glad show
1801,happy,odin bless ff
1802,happy,check archiv hamiltonkerrinstitut thank show u around
1803,happy,gaaf het gebruikt periscop om rondleidingen te streamen
1804,happy,back bestartgalleri bringonpollock
1805,happy,saw visit daughter histori zar ceremoni use fascin sudaneselyr
1806,happy,marvel piec rightli jackson pollock exh open june make way liverpool
1807,happy,fantast
1808,angry,parliament whistl banner leaflet confisc manag time noprivatis reinstatecandi
1809,sad,lot disappoint peopl galleri today strike sadfac
1810,nocode,celebr feast day john baptist next week talk life depict via
1811,happy,see first solo exhibit tonight
1812,happy,thank interest inform nice day
1813,nocode,student age get tast subject interest arrang sign
1814,nocode,roman gem engrav odysseu ship three siren via archiv
1815,nocode,start firstthursday cevich old st galleri pm next week
1816,happy,beauti roman period statu girl play knucklebon tuck away seen
1817,happy,cool thing stumbl upon tween meet yearofpercuss persepoli
1818,happy,delight work select evolverpr juli th
1819,happy,two work part rather thrill stori hepworth ben nicholson london hepworth
1820,happy,thank fav ing spent yr place b biz meet know heart soar artforthesoul
1821,happy,britishmuseum rt love ancient live new discoveri fascin ama ht
1822,nocode,watercolour element natur open week
1823,nocode,forget check weekend
1824,happy,superb great see educ peopl person time favourit carravagio
1825,not-relevant,nation galleri disput discus common adjourn debat pm today
1826,nocode,hayden surpris symphoni
1827,happy,craftsmanship stunningli beauti hope see person soon
1828,nocode,downtown jazzinthegarden
1829,happy,thank dr doria tichit facin afternoon
1830,nocode,might end closer back
1831,nocode,dear pizzidimont found offerent museum regard
1832,happy,could keep busi long pack histori
1833,happy,favourit bit got mermaid everyth
1834,happy,must see onlyinliverpool pollock
1835,nocode,everi good painter paint said artist jacksonpollock view black period blind spot exhibit
1836,nocode,dive deep
1837,not-relevant,nd genocid biafran promis buhari begun day unreport aerial bombard biafraland
1838,nocode,seen summer menu great court restaur
1839,nocode,work anthonycaro renaiss painter duccio display togeth first time
1840,nocode,new portrait american dream jackson pollock glenn ligon reveal
1841,happy,cant wait go audreyhepburn exhibit icon idolis ladi sinc littl girl
1842,happy,look forward tonight talk hero napoleon
1843,not-relevant,develop fundrais career one world lead art organis appli work
1844,happy,amaz
1845,happy,gloriou perspect kid see thing twinkli way rt kid
1846,happy,wow theyr dprint ancient museum pot millionth visitor exet technolog histori
1847,nocode,encamp royal engin boi de boulogn battl waterloo g j scharf
1848,nocode,pivot seri black pour jacksonpollock show june rarecommend
1849,nocode,book field visit programm
1850,happy,oh wow fantast
1851,nocode,public program museum found effect interest audienc askthegalleri
1852,nocode,egon schiel moment
1853,happy,park open via awesom
1854,nocode,bbc news tate st ive acquir barbara hepworth palai de dans workshop
1855,nocode,london greater london
1856,happy,great collect preserv futur
1857,nocode,cfp negoti art dealer museum
1858,happy,favourit paint noli tangerin unknown th c artist could see jesu singl orang
1859,nocode,mp urg govern interven resolv pc disput privatis
1860,happy,thank excel tour waterloo columbu ohio
1861,nocode,studio visit karl bielik ahead londonopen
1862,happy,spent afternoon admir enchant object new waddesdon bequest display must visit
